edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
EIF2AK4,0.038017447,8.244629907,601.4472159,1.28E-98,7.53E-98,5
RPAP3,0.032519355,8.158469676,529.8717464,3.52E-65,1.56E-64,5
CACFD1,0.030937929,8.148985878,478.5474943,7.27E-54,2.88E-53,5
CAAP1,0.037284818,8.166148829,674.5743962,1.32E-86,7.07E-86,5
CA2,0.048137854,8.309954513,500.8812934,1.74E-109,1.11E-108,5
NDUFV3,0.034473972,8.364181995,482.5619138,1.33E-105,8.28E-105,5
PHKG1,0.018270415,8.146105536,154.3697851,1.96E-20,5.27E-20,5
CPTP,0.033935003,8.163665671,552.9170617,3.31E-70,1.54E-69,5
EEF1G,0.014789063,8.219753312,81.88948418,9.39E-15,2.32E-14,5
RNASEH2C,0.027561496,8.421596815,313.6356275,1.33E-69,6.12E-69,5
WAPL,0.038307755,8.221232135,618.6820511,2.78E-95,1.60E-94,5
LINC01003,0.033233048,8.192267941,480.6834252,3.30E-68,1.50E-67,5
NDUFS7,0.033486735,8.916134463,611.1695104,8.91E-133,6.76E-132,5
CENPW,0.02785896,8.314103415,250.7764393,4.12E-56,1.67E-55,5
TMEM238,-0.018410054,8.250148679,112.3802692,1.00E-23,2.82E-23,5
MT1G,0.016290362,8.820125201,54.21374717,1.87E-13,4.51E-13,5
RPS26,0.030173547,11.02898044,537.9531639,2.49E-117,1.68E-116,5
TTC38,0.039336683,8.176207492,717.4089887,1.88E-99,1.11E-98,5
ME2,0.031872885,8.161932385,475.3325616,2.00E-59,8.38E-59,5
TOMM7,0.030822218,9.964588045,596.8110194,9.42E-130,7.00E-129,5
GOLIM4,0.044548467,8.448090068,707.8824563,4.39E-153,3.87E-152,5
UTRN,0.024623423,8.165618795,267.3462745,5.53E-42,1.94E-41,5
FAM208B,0.028117419,8.178669201,357.7329849,1.27E-47,4.72E-47,5
MYSM1,0.022143778,8.146499834,254.1155258,1.38E-31,4.29E-31,5
C19orf53,0.033814739,9.437729315,758.5301643,1.12E-163,1.06E-162,5
DCAF6,0.037669311,8.2134811,602.6278723,1.07E-87,5.77E-87,5
RFC2,0.029540602,8.148536771,449.4225855,7.76E-54,3.08E-53,5
GADD45GIP1,0.031389694,9.20137241,649.3378163,8.37E-141,6.73E-140,5
ARL6IP4,0.036587422,9.24000962,907.2339318,1.30E-194,1.51E-193,5
DOHH,0.034409847,8.196091758,527.2375866,6.36E-73,3.03E-72,5
C10orf99,0.041734066,8.650687252,460.0244367,8.05E-101,4.82E-100,5
C19orf70,0.026551642,9.036324547,439.8417464,1.56E-96,9.07E-96,5
TMEM131,0.034543503,8.181208761,539.9274746,3.79E-72,1.79E-71,5
CETN3,0.025606575,8.166234958,314.5368062,6.02E-41,2.09E-40,5
DHRS11,0.03260061,8.199746267,431.1125192,9.82E-67,4.42E-66,5
TYW1,0.028859574,8.13352088,488.3311237,6.19E-53,2.43E-52,5
SPINK4,0.008901203,8.295501025,16.0216807,6.29E-05,0.000122273,5
E2F3,0.026612536,8.146123278,369.4318104,3.40E-43,1.21E-42,5
EXOSC2,0.026259437,8.138324124,384.0076819,5.22E-43,1.85E-42,5
TPRN,0.022668188,8.214452987,208.5749165,7.72E-32,2.41E-31,5
FZD5,0.037106462,8.23880364,559.3082985,2.87E-93,1.62E-92,5
TCEAL1,0.031031641,8.202912833,393.0892756,4.54E-54,1.80E-53,5
VPS13C,0.030671566,8.218067412,384.5471469,1.99E-67,9.00E-67,5
SART1,0.03059136,8.209965999,410.4506616,6.63E-61,2.81E-60,5
MOAP1,0.032877545,8.14524145,570.5588043,1.15E-62,5.00E-62,5
RPS24,0.023872557,12.66813301,371.5354525,5.53E-82,2.85E-81,5
GOLGA3,0.041733618,8.242614379,701.8245285,2.73E-116,1.84E-115,5
ZNF205,0.020359431,8.149837192,213.9669045,2.65E-25,7.59E-25,5
GLI4,0.017600079,8.146375623,156.471732,1.23E-18,3.23E-18,5
PRAC1,0.02924019,8.844337852,215.7484827,1.44E-48,5.42E-48,5
GABPB2,0.027307675,8.121554641,474.7415028,1.23E-46,4.55E-46,5
MSX1,0.013288696,8.127317309,99.230879,7.44E-14,1.80E-13,5
